,Order ID,Order Date,Customer Name,City,Country,Region,Segment,Ship Date,Ship Mode,State,Product Name,Discount,Sales,Profit,Quantity,Category,Sub-Category,Order Shipment TimeFrame,Shipping options,Year,Month,Month-Year,day
30,AZ-2011-3755505,2011-09-09,Jeremy Pilcher,Innsbruck,Austria,Central,Corporate,2011-09-16,Economy,Tyrol,"Bush 3-Shelf Cabinet, Metal",0.0,286.0,83.0,2,Furniture,Bookcases,7,Standard Shipping,2011,Sep,09/2011,4
31,AZ-2011-3755505,2011-09-09,Jeremy Pilcher,Innsbruck,Austria,Central,Corporate,2011-09-16,Economy,Tyrol,"Office Star Chairmat, Adjustable",0.0,205.0,80.0,3,Furniture,Chairs,7,Standard Shipping,2011,Sep,09/2011,4
32,AZ-2011-3755505,2011-09-09,Jeremy Pilcher,Innsbruck,Austria,Central,Corporate,2011-09-16,Economy,Tyrol,"Rubbermaid Door Stop, Black",0.0,88.0,27.0,2,Furniture,Furnishings,7,Standard Shipping,2011,Sep,09/2011,4
33,AZ-2011-3755505,2011-09-09,Jeremy Pilcher,Innsbruck,Austria,Central,Corporate,2011-09-16,Economy,Tyrol,"Sanford Sketch Pad, Easy-Erase",0.0,137.0,63.0,3,Office Supplies,Art,7,Standard Shipping,2011,Sep,09/2011,4
34,AZ-2011-3755505,2011-09-09,Jeremy Pilcher,Innsbruck,Austria,Central,Corporate,2011-09-16,Economy,Tyrol,"Enermax Message Books, Premium",0.0,45.0,2.0,2,Office Supplies,Paper,7,Standard Shipping,2011,Sep,09/2011,4
35,AZ-2011-3755505,2011-09-09,Jeremy Pilcher,Innsbruck,Austria,Central,Corporate,2011-09-16,Economy,Tyrol,"Brother Fax Machine, Laser",0.0,1593.0,653.0,5,Technology,Copiers,7,Standard Shipping,2011,Sep,09/2011,4
36,AZ-2011-4234441,2011-09-28,Jean Crowley,Graz,Austria,Central,Corporate,2011-09-30,Economy Plus,Styria,"SAFCO Chairmat, Adjustable",0.0,187.0,41.0,3,Furniture,Chairs,2,Priority Shipping,2011,Sep,09/2011,2
37,AZ-2011-8069544,2011-10-10,Maddison Newman,Linz,Austria,Central,Corporate,2011-12-10,Priority,Upper Austria,"Hon Legal Exhibit Labels, Adjustable",0.0,70.0,11.0,8,Office Supplies,Labels,2,Priority Shipping,2011,Oct,10/2011,0
38,AZ-2011-7589945,2011-10-20,Rebecca Heysen,Vienna,Austria,Central,Corporate,2011-10-24,Economy,Vienna,"Eldon Clock, Black",0.0,57.0,16.0,1,Furniture,Furnishings,4,Standard Shipping,2011,Oct,10/2011,3
39,AZ-2011-9135395,2011-11-16,Toby Conway,Vienna,Austria,Central,Consumer,2011-11-18,Economy Plus,Vienna,"Tenex Trays, Wire Frame",0.0,320.0,160.0,6,Office Supplies,Storage,2,Priority Shipping,2011,Nov,11/2011,2
40,AZ-2011-4495779,2011-11-22,Ramona Hohl,Vienna,Austria,Central,Consumer,2011-11-27,Economy,Vienna,"Rogers File Cart, Single Width",0.0,426.0,68.0,3,Office Supplies,Storage,5,Standard Shipping,2011,Nov,11/2011,1
41,AZ-2011-2986519,2011-11-24,Kerry Dorsey,Vienna,Austria,Central,Consumer,2011-11-26,Priority,Vienna,"Canon Fax and Copier, Color",0.0,964.0,231.0,5,Technology,Copiers,2,Priority Shipping,2011,Nov,11/2011,3
42,AZ-2011-2986519,2011-11-24,Kerry Dorsey,Vienna,Austria,Central,Consumer,2011-11-26,Priority,Vienna,"Epson Receipt Printer, Wireless",0.0,351.0,84.0,3,Technology,Machines,2,Priority Shipping,2011,Nov,11/2011,3
43,AZ-2011-7176168,2011-12-17,Carl Proctor,Vienna,Austria,Central,Consumer,2011-12-24,Economy,Vienna,"Cardinal Index Tab, Economy",0.0,18.0,8.0,2,Office Supplies,Binders,7,Standard Shipping,2011,Dec,12/2011,5
44,AZ-2011-5720864,2011-12-17,Carrie Boots,Vienna,Austria,Central,Corporate,2011-12-21,Economy,Vienna,"Wilson Jones Index Tab, Recycled",0.0,41.0,11.0,6,Office Supplies,Binders,4,Standard Shipping,2011,Dec,12/2011,5
45,AZ-2011-5720864,2011-12-17,Carrie Boots,Vienna,Austria,Central,Corporate,2011-12-21,Economy,Vienna,"Stockwell Rubber Bands, Metal",0.0,117.0,56.0,7,Office Supplies,Fasteners,4,Standard Shipping,2011,Dec,12/2011,5
46,AZ-2011-5720864,2011-12-17,Carrie Boots,Vienna,Austria,Central,Corporate,2011-12-21,Economy,Vienna,"Memorex Memory Card, Bluetooth",0.0,716.0,150.0,7,Technology,Accessories,4,Standard Shipping,2011,Dec,12/2011,5
47,AZ-2011-6760420,2011-12-19,Daniel Hamilton,Vienna,Austria,Central,Home Office,2011-12-23,Economy,Vienna,"Safco 3-Shelf Cabinet, Mobile",0.0,1542.0,200.0,9,Furniture,Bookcases,4,Standard Shipping,2011,Dec,12/2011,0
48,AZ-2011-6760420,2011-12-19,Daniel Hamilton,Vienna,Austria,Central,Home Office,2011-12-23,Economy,Vienna,"Office Star Executive Leather Armchair, Adjustable",0.0,1395.0,572.0,3,Furniture,Chairs,4,Standard Shipping,2011,Dec,12/2011,0
49,AZ-2011-6760420,2011-12-19,Daniel Hamilton,Vienna,Austria,Central,Home Office,2011-12-23,Economy,Vienna,"Rogers Shelving, Wire Frame",0.0,184.0,57.0,3,Office Supplies,Storage,4,Standard Shipping,2011,Dec,12/2011,0
50,AZ-2011-6760420,2011-12-19,Daniel Hamilton,Vienna,Austria,Central,Home Office,2011-12-23,Economy,Vienna,"Stiletto Ruler, High Speed",0.0,179.0,23.0,12,Office Supplies,Supplies,4,Standard Shipping,2011,Dec,12/2011,0
51,AZ-2011-4342621,2011-12-27,Michael Wilson,Vienna,Austria,Central,Home Office,2011-12-30,Priority,Vienna,"Binney & Smith Pencil Sharpener, Easy-Erase",0.0,56.0,6.0,2,Office Supplies,Art,3,Priority Shipping,2011,Dec,12/2011,1
52,AZ-2011-4342621,2011-12-27,Michael Wilson,Vienna,Austria,Central,Home Office,2011-12-30,Priority,Vienna,"Avery Binder, Economy",0.0,52.0,20.0,4,Office Supplies,Binders,3,Priority Shipping,2011,Dec,12/2011,1
53,AZ-2011-4342621,2011-12-27,Michael Wilson,Vienna,Austria,Central,Home Office,2011-12-30,Priority,Vienna,"Cardinal Hole Reinforcements, Recycled",0.0,51.0,21.0,9,Office Supplies,Binders,3,Priority Shipping,2011,Dec,12/2011,1
54,AZ-2011-4342621,2011-12-27,Michael Wilson,Vienna,Austria,Central,Home Office,2011-12-30,Priority,Vienna,"Wilson Jones Binding Machine, Economy",0.0,98.0,35.0,2,Office Supplies,Binders,3,Priority Shipping,2011,Dec,12/2011,1
55,AZ-2011-4342621,2011-12-27,Michael Wilson,Vienna,Austria,Central,Home Office,2011-12-30,Priority,Vienna,"Fellowes Folders, Single Width",0.0,79.0,32.0,3,Office Supplies,Storage,3,Priority Shipping,2011,Dec,12/2011,1
56,AZ-2011-4342621,2011-12-27,Michael Wilson,Vienna,Austria,Central,Home Office,2011-12-30,Priority,Vienna,"Kleencut Scissors, High Speed",0.0,89.0,28.0,4,Office Supplies,Supplies,3,Priority Shipping,2011,Dec,12/2011,1
57,AZ-2011-4342621,2011-12-27,Michael Wilson,Vienna,Austria,Central,Home Office,2011-12-30,Priority,Vienna,"Canon Personal Copier, High-Speed",0.0,282.0,76.0,2,Technology,Copiers,3,Priority Shipping,2011,Dec,12/2011,1
58,AZ-2012-8319286,2012-12-01,Daniel Howells,Vienna,Austria,Central,Corporate,2012-01-17,Economy,Vienna,"Acco Index Tab, Clear",0.0,17.0,3.0,2,Office Supplies,Binders,5,Standard Shipping,2012,Dec,12/2012,5
59,AZ-2012-8319286,2012-12-01,Daniel Howells,Vienna,Austria,Central,Corporate,2012-01-17,Economy,Vienna,"Hon Legal Exhibit Labels, Alphabetical",0.0,53.0,2.0,5,Office Supplies,Labels,5,Standard Shipping,2012,Dec,12/2012,5
60,AZ-2012-8319286,2012-12-01,Daniel Howells,Vienna,Austria,Central,Corporate,2012-01-17,Economy,Vienna,"Green Bar Memo Slips, 8.5 x 11",0.0,63.0,31.0,3,Office Supplies,Paper,5,Standard Shipping,2012,Dec,12/2012,5
61,AZ-2012-8319286,2012-12-01,Daniel Howells,Vienna,Austria,Central,Corporate,2012-01-17,Economy,Vienna,"Fellowes Box, Single Width",0.0,79.0,5.0,4,Office Supplies,Storage,5,Standard Shipping,2012,Dec,12/2012,5
62,AZ-2012-8319286,2012-12-01,Daniel Howells,Vienna,Austria,Central,Corporate,2012-01-17,Economy,Vienna,"Sharp Copy Machine, Laser",0.0,1195.0,155.0,5,Technology,Copiers,5,Standard Shipping,2012,Dec,12/2012,5
63,AZ-2012-8319286,2012-12-01,Daniel Howells,Vienna,Austria,Central,Corporate,2012-01-17,Economy,Vienna,"Apple Signal Booster, Cordless",0.0,558.0,139.0,4,Technology,Phones,5,Standard Shipping,2012,Dec,12/2012,5
64,AZ-2012-6624087,2012-01-18,Mark Washington,Vienna,Austria,Central,Home Office,2012-01-22,Economy,Vienna,"Eldon File Cart, Single Width",0.0,257.0,110.0,2,Office Supplies,Storage,4,Standard Shipping,2012,Jan,01/2012,2
65,AZ-2012-6624087,2012-01-18,Mark Washington,Vienna,Austria,Central,Home Office,2012-01-22,Economy,Vienna,"Fellowes Shelving, Wire Frame",0.0,285.0,117.0,5,Office Supplies,Storage,4,Standard Shipping,2012,Jan,01/2012,2
66,AZ-2012-6624087,2012-01-18,Mark Washington,Vienna,Austria,Central,Home Office,2012-01-22,Economy,Vienna,"Rogers File Cart, Single Width",0.0,852.0,136.0,6,Office Supplies,Storage,4,Standard Shipping,2012,Jan,01/2012,2
67,AZ-2012-2484319,2012-01-24,Peter Daly,Innsbruck,Austria,Central,Consumer,2012-01-26,Priority,Tyrol,"Boston Pencil Sharpener, Easy-Erase",0.0,91.0,14.0,3,Office Supplies,Art,2,Priority Shipping,2012,Jan,01/2012,1
68,AZ-2012-6238242,2012-01-25,Mike Langer,Vienna,Austria,Central,Corporate,2012-01-30,Economy,Vienna,"Office Star Chairmat, Set of Two",0.0,68.0,30.0,1,Furniture,Chairs,5,Standard Shipping,2012,Jan,01/2012,2
69,AZ-2012-6238242,2012-01-25,Mike Langer,Vienna,Austria,Central,Corporate,2012-01-30,Economy,Vienna,"Ibico Binding Machine, Recycled",0.0,362.0,65.0,7,Office Supplies,Binders,5,Standard Shipping,2012,Jan,01/2012,2
70,AZ-2012-6238242,2012-01-25,Mike Langer,Vienna,Austria,Central,Corporate,2012-01-30,Economy,Vienna,"Cameo Interoffice Envelope, Recycled",0.0,231.0,97.0,5,Office Supplies,Envelopes,5,Standard Shipping,2012,Jan,01/2012,2
71,AZ-2012-6238242,2012-01-25,Mike Langer,Vienna,Austria,Central,Corporate,2012-01-30,Economy,Vienna,"Hewlett Ink, Digital",0.0,297.0,133.0,2,Technology,Copiers,5,Standard Shipping,2012,Jan,01/2012,2
72,AZ-2012-1940547,2012-01-27,Faith Chambers,Vienna,Austria,Central,Consumer,2012-03-02,Economy,Vienna,"Cardinal Hole Reinforcements, Durable",0.0,14.0,3.0,2,Office Supplies,Binders,7,Standard Shipping,2012,Jan,01/2012,4
73,AZ-2012-9024029,2012-01-28,Imogen Steele,Linz,Austria,Central,Corporate,2012-02-02,Economy,Upper Austria,"Binney & Smith Pencil Sharpener, Fluorescent",0.0,27.0,1.0,1,Office Supplies,Art,5,Standard Shipping,2012,Jan,01/2012,5
74,AZ-2012-400830,2012-07-02,Bonnie Wilson,Graz,Austria,Central,Corporate,2012-11-02,Economy,Styria,"Eldon Photo Frame, Black",0.0,232.0,42.0,4,Furniture,Furnishings,4,Standard Shipping,2012,Jul,07/2012,0
75,AZ-2012-400830,2012-07-02,Bonnie Wilson,Graz,Austria,Central,Corporate,2012-11-02,Economy,Styria,"Rubbermaid Frame, Erganomic",0.0,434.0,161.0,4,Furniture,Furnishings,4,Standard Shipping,2012,Jul,07/2012,0
76,AZ-2012-852937,2012-07-03,Eve Bates,Vienna,Austria,Central,Consumer,2012-09-03,Economy Plus,Vienna,"Hewlett Fax Machine, Color",0.0,1285.0,450.0,4,Technology,Copiers,2,Priority Shipping,2012,Jul,07/2012,1
77,AZ-2012-4310145,2012-03-27,Owen Faulkner,Vienna,Austria,Central,Home Office,2012-03-27,Immediate,Vienna,"Eldon File Cart, Single Width",0.0,128.0,55.0,1,Office Supplies,Storage,0,Next Day Shipping,2012,Mar,03/2012,1
78,AZ-2012-1332956,2012-03-04,Leah Derham,Vienna,Austria,Central,Consumer,2012-05-04,Priority,Vienna,"Wilson Jones Hole Reinforcements, Recycled",0.0,10.0,2.0,2,Office Supplies,Binders,2,Priority Shipping,2012,Mar,03/2012,6
79,AZ-2012-7832440,2012-11-04,Georgina Storey,Vienna,Austria,Central,Consumer,2012-04-15,Economy,Vienna,"Safco Floating Shelf Set, Mobile",0.0,399.0,48.0,2,Furniture,Bookcases,4,Standard Shipping,2012,Nov,11/2012,6
80,AZ-2012-7832440,2012-11-04,Georgina Storey,Vienna,Austria,Central,Consumer,2012-04-15,Economy,Vienna,"BIC Markers, Water Color",0.0,89.0,31.0,3,Office Supplies,Art,4,Standard Shipping,2012,Nov,11/2012,6
81,AZ-2012-7832440,2012-11-04,Georgina Storey,Vienna,Austria,Central,Consumer,2012-04-15,Economy,Vienna,"Hon Round Labels, Adjustable",0.0,23.0,8.0,5,Office Supplies,Labels,4,Standard Shipping,2012,Nov,11/2012,6
82,AZ-2012-7832440,2012-11-04,Georgina Storey,Vienna,Austria,Central,Consumer,2012-04-15,Economy,Vienna,"Smead File Cart, Blue",0.0,1147.0,11.0,9,Office Supplies,Storage,4,Standard Shipping,2012,Nov,11/2012,6
83,AZ-2012-3048240,2012-04-23,Gemma Curlewis,Vienna,Austria,Central,Corporate,2012-04-27,Economy,Vienna,"SanDisk Keyboard, Programmable",0.0,415.0,66.0,5,Technology,Accessories,4,Standard Shipping,2012,Apr,04/2012,0
84,AZ-2012-184298,2012-04-26,Ali Mander-Jones,Vienna,Austria,Central,Home Office,2012-04-29,Priority,Vienna,"Advantus Thumb Tacks, Assorted Sizes",0.0,11.0,2.0,1,Office Supplies,Fasteners,3,Priority Shipping,2012,Apr,04/2012,3
85,AZ-2012-8039360,2012-04-27,Matthew Gill,Vienna,Austria,Central,Home Office,2012-04-05,Economy,Vienna,"Acco Binder, Durable",0.0,50.0,14.0,3,Office Supplies,Binders,7,Standard Shipping,2012,Apr,04/2012,4
86,AZ-2012-8039360,2012-04-27,Matthew Gill,Vienna,Austria,Central,Home Office,2012-04-05,Economy,Vienna,"Stockwell Thumb Tacks, Metal",0.0,27.0,9.0,2,Office Supplies,Fasteners,7,Standard Shipping,2012,Apr,04/2012,4
87,AZ-2012-8039360,2012-04-27,Matthew Gill,Vienna,Austria,Central,Home Office,2012-04-05,Economy,Vienna,"Harbour Creations Round Labels, Laser Printer Compatible",0.0,27.0,4.0,4,Office Supplies,Labels,7,Standard Shipping,2012,Apr,04/2012,4
88,AZ-2012-8039360,2012-04-27,Matthew Gill,Vienna,Austria,Central,Home Office,2012-04-05,Economy,Vienna,"Smead Box, Blue",0.0,43.0,0.0,4,Office Supplies,Storage,7,Standard Shipping,2012,Apr,04/2012,4
89,AZ-2012-8039360,2012-04-27,Matthew Gill,Vienna,Austria,Central,Home Office,2012-04-05,Economy,Vienna,"Okidata Calculator, White",0.0,254.0,5.0,5,Technology,Machines,7,Standard Shipping,2012,Apr,04/2012,4
90,AZ-2012-9817190,2012-04-28,Keith Martinez,Vienna,Austria,Central,Consumer,2012-04-05,Economy,Vienna,"Boston Highlighters, Blue",0.0,19.0,5.0,1,Office Supplies,Art,6,Standard Shipping,2012,Apr,04/2012,5
91,AZ-2012-9817190,2012-04-28,Keith Martinez,Vienna,Austria,Central,Consumer,2012-04-05,Economy,Vienna,"Boston Highlighters, Fluorescent",0.0,40.0,10.0,2,Office Supplies,Art,6,Standard Shipping,2012,Apr,04/2012,5
92,AZ-2012-9817190,2012-04-28,Keith Martinez,Vienna,Austria,Central,Consumer,2012-04-05,Economy,Vienna,"Hon Color Coded Labels, Adjustable",0.0,21.0,3.0,2,Office Supplies,Labels,6,Standard Shipping,2012,Apr,04/2012,5
93,AZ-2012-9817190,2012-04-28,Keith Martinez,Vienna,Austria,Central,Consumer,2012-04-05,Economy,Vienna,"Xerox Computer Printout Paper, Multicolor",0.0,83.0,18.0,3,Office Supplies,Paper,6,Standard Shipping,2012,Apr,04/2012,5
94,AZ-2012-9817190,2012-04-28,Keith Martinez,Vienna,Austria,Central,Consumer,2012-04-05,Economy,Vienna,"Okidata Phone, White",0.0,426.0,4.0,5,Technology,Machines,6,Standard Shipping,2012,Apr,04/2012,5
95,AZ-2012-6341558,2012-11-06,Bryce Efird,Vienna,Austria,Central,Corporate,2012-06-15,Economy,Vienna,"Binney & Smith Pens, Water Color",0.0,30.0,11.0,2,Office Supplies,Art,4,Standard Shipping,2012,Nov,11/2012,1
96,AZ-2012-6341558,2012-11-06,Bryce Efird,Vienna,Austria,Central,Corporate,2012-06-15,Economy,Vienna,"Tenex File Cart, Industrial",0.0,402.0,76.0,3,Office Supplies,Storage,4,Standard Shipping,2012,Nov,11/2012,1
97,AZ-2012-8935419,2012-06-19,Rachel Goddard,Vienna,Austria,Central,Consumer,2012-06-24,Economy,Vienna,"Novimex File Folder Labels, Alphabetical",0.0,24.0,3.0,3,Office Supplies,Labels,5,Standard Shipping,2012,Jun,06/2012,1
98,AZ-2012-8935419,2012-06-19,Rachel Goddard,Vienna,Austria,Central,Consumer,2012-06-24,Economy,Vienna,"Motorola Headset, Cordless",0.0,248.0,79.0,3,Technology,Phones,5,Standard Shipping,2012,Jun,06/2012,1
99,AZ-2012-9180842,2012-06-21,Joel Ortega,Vienna,Austria,Central,Corporate,2012-06-28,Economy,Vienna,"Fiskars Shears, Steel",0.0,94.0,27.0,2,Office Supplies,Supplies,7,Standard Shipping,2012,Jun,06/2012,3
100,AZ-2012-5450030,2012-08-08,Georgina Fuller,Vienna,Austria,Central,Consumer,2012-12-08,Economy,Vienna,"Sanford Highlighters, Easy-Erase",0.0,48.0,2.0,3,Office Supplies,Art,4,Standard Shipping,2012,Aug,08/2012,2
101,AZ-2012-5450030,2012-08-08,Georgina Fuller,Vienna,Austria,Central,Consumer,2012-12-08,Economy,Vienna,"Avery Binding Machine, Recycled",0.0,197.0,85.0,4,Office Supplies,Binders,4,Standard Shipping,2012,Aug,08/2012,2
102,AZ-2012-5450030,2012-08-08,Georgina Fuller,Vienna,Austria,Central,Consumer,2012-12-08,Economy,Vienna,"Kraft Clasp Envelope, with clear poly window",0.0,50.0,24.0,4,Office Supplies,Envelopes,4,Standard Shipping,2012,Aug,08/2012,2
103,AZ-2012-2938834,2012-12-08,Gail Thompson,Graz,Austria,Central,Consumer,2012-08-16,Economy Plus,Styria,"Fiskars Scissors, Serrated",0.0,60.0,27.0,3,Office Supplies,Supplies,4,Standard Shipping,2012,Dec,12/2012,5
104,AZ-2012-451470,2012-08-29,Amy Nixon,Vienna,Austria,Central,Consumer,2012-08-31,Priority,Vienna,"Apple Office Telephone, VoIP",0.0,719.0,273.0,11,Technology,Phones,2,Priority Shipping,2012,Aug,08/2012,2
105,AZ-2012-5001546,2012-08-30,Lloyd Barnes,Vienna,Austria,Central,Corporate,2012-01-09,Priority,Vienna,"Smead File Cart, Industrial",0.0,257.0,72.0,2,Office Supplies,Storage,2,Priority Shipping,2012,Aug,08/2012,3
106,AZ-2012-1100963,2012-04-09,Ewan Walton,Vienna,Austria,Central,Consumer,2012-04-09,Immediate,Vienna,"Advantus Photo Frame, Erganomic",0.0,206.0,99.0,4,Furniture,Furnishings,0,Next Day Shipping,2012,Apr,04/2012,0
107,AZ-2012-1100963,2012-04-09,Ewan Walton,Vienna,Austria,Central,Consumer,2012-04-09,Immediate,Vienna,"GlobeWeis Manila Envelope, Set of 50",0.0,27.0,9.0,1,Office Supplies,Envelopes,0,Next Day Shipping,2012,Apr,04/2012,0
